"specific_industry","naics_code","Total hours worked2     (millions)","Fatal injury rate3","Margin of error4","sector_code","category","is_parent","parent_code","subheader"
"Air transportation","481","1100","4.2","0.38","48","Transportation and Warehousing",FALSE,"48","Other Transportation and Warehousing"
"Couriers and messengers","492","2400","5","0.28999999999999998","49","Transportation and Warehousing",FALSE,"49","Other Transportation and Warehousing"
"Rail transportation","482","400","6.1","0.95","48","Transportation and Warehousing",FALSE,"48","Other Transportation and Warehousing"
"Support activities for transportation","488","1400","15.6","1.39","48","Transportation and Warehousing",FALSE,"48","Other Transportation and Warehousing"
"Truck transportation","484","4600","28.3","1.37","48","Transportation and Warehousing",FALSE,"48","Other Transportation and Warehousing"
"Warehousing and storage","493","2000","4.5","0.34","49","Transportation and Warehousing",FALSE,"49","Other Transportation and Warehousing"
"Water transportation","483","100","13.3","3.15","48","Transportation and Warehousing",FALSE,"48","Other Transportation and Warehousing"
"Bus service and urban transit","4851","500","7.4","0.96","48","Transportation and Warehousing",FALSE,"485","Transit and ground passenger transportation"
"Other Transit and ground passenger transportation","other-485",,,,,"Transportation and Warehousing",,"485","Transit and ground passenger transportation"
"Taxi and limousine service","4853","700","10.8","1.27","48","Transportation and Warehousing",FALSE,"485","Transit and ground passenger transportation"
"Other Transportation and Warehousing Activities","other-48",,,,,"Transportation and Warehousing",,"48",
"Utilities","22","2100","3.4","0.26","22","Utilities",FALSE,"22",
"Machinery, equipment, and supplies merchant wholesalers","4238","700","4.0999999999999996","0.49","42","Wholesale Trade",FALSE,"423","Merchant wholesalers, durable goods"
"Other Merchant wholesalers, durable goods","other-423",,,,,"Wholesale Trade",,"423","Merchant wholesalers, durable goods"
"Recyclable material merchant wholesalers","42393","100","24.3","5.66","42","Wholesale Trade",FALSE,"423","Merchant wholesalers, durable goods"
"Other Wholesale Trade Activities","other-42",,,,,"Wholesale Trade",,"42",
